|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|WNYL        |92.3  MHz |FA |222 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |58579      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|290510    |
|WXTU        |92.5  MHz |FM |223 |DA  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -20031017ACG |15.    kW |15.    kW |279.0   |279.0   |74213      |N |40 |2  |19.00 |W |75  |14 |14.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.82 km |  40.90 mi |247.51 deg |343.   m|343.0  m|34564     |0.      |1026755 |267.   m|1121438   |
|WXTU        |92.5  MHz |FS |223 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19970110KB  |11.5   kW |11.5   kW |162.0   |162.0   |74213      |N |40 |2  |21.00 |W |75  |14 |13.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.78 km |  40.87 mi |247.55 deg |226.   m|226.0  m|-         |-       |-       |152.   m|239009    |
|WXTU        |92.5  MHz |FS |223 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXLH   -20071130AFZ |2.9    kW |2.9    kW |337.8   |337.8   |74213      |N |40 |2  |30.00 |W |75  |14 |11.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.63 km |  40.78 mi |247.76 deg |403.   m|403.0  m|-         |-       |1231524 |314.   m|1217131   |
|WXTU        |92.5  MHz |FA |223 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |74213      |N |40 |2  |21.00 |W |75  |14 |13.00 |-                                                                           |  65.78 km |  40.87 mi |247.55 deg |-      m|-      m|-         |-       |-       |0.     m|290574    |
|WOBM-FM     |92.7  MHz |FM |224 |ND  |-                   |A  |-  |LIC    |TOMS RIVER               |NJ |US |BMLH   -20160722AAC |1.48   kW |1.48   kW |148.0   |148.0   |59508      |N |39 |52 |31.00 |W |74  |9  |57.30 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.02 mi |144.88 deg |154.   m|154.0  m|-         |-       |1047622 |149.   m|1733915   |
|WOBM-FM     |92.7  MHz |FM |224 |ND  |-                   |A  |-  |APP    |TOMS RIVER               |NJ |US |BPH    -20181203AAQ |1.6    kW |1.6    kW |139.0   |139.0   |59508      |N |39 |52 |31.00 |W |74  |9  |57.30 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.02 mi |144.88 deg |149.   m|149.0  m|-         |-       |1047622 |144.   m|1795981   |
|WOBM-FM     |92.7  MHz |FS |224 |ND  |-                   |A  |-  |LIC    |TOMS RIVER               |NJ |US |BXLH   -20160926AEH |2.8    kW |2.8    kW |98.0    |98.0    |59508      |N |39 |52 |31.00 |W |74  |9  |57.30 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.02 mi |144.88 deg |107.9  m|107.9  m|-         |-       |1047622 |103.   m|1739189   |
|WOBM-FM     |92.7  MHz |FA |224 |ND  |-                   |A  |-  |USE    |TOMS RIVER               |NJ |US |-      --           |-      kW |-      kW |-       |-       |59508      |N |39 |52 |30.00 |W |74  |9  |52.00 |-                                                                           |  53.24 km |  33.08 mi |144.79 deg |-      m|-      m|-         |-       |-       |0.     m|290692    |
|W224AS      |92.7  MHz |FX |224 |DA  |-                   |D  |-  |LIC    |WASHINGTON               |NJ |US |BLFT   -20130627AAU |0.15   kW |0.15   kW |173.9   |0.0     |54693      |N |40 |48 |28.00 |W |74  |57 |32.00 |WRNJ RADIO, INC.                                                            |  70.46 km |  43.78 mi |328.73 deg |371.   m|371.0  m|113670    |0.      |-       |23.    m|1560876   |
|W224CW      |92.7  MHz |FX |224 |DA  |-                   |D  |-  |LIC    |FRANKLIN TOWNSHIP        |NJ |US |BLFT   -20160517ABO |0.105  kW |0.105  kW |0.0     |0.0     |143028     |N |40 |28 |44.60 |W |74  |28 |30.40 |RAHUL WALIA                                                                 |  23.93 km |  14.87 mi |  9.98 deg |181.   m|181.0  m|124146    |0.      |1062421 |151.   m|1729134   |
|WQBU-FM2    |92.7  MHz |FB |224 |DA  |-                   |D  |-  |LIC    |BROOKLYN                 |NY |US |BLFTB  -20120411AAE |0.     kW |1.2    kW |0.0     |0.0     |189382     |N |40 |40 |1.00  |W |73  |47 |56.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  75.88 km |  47.15 mi | 53.82 deg |0.0    m|49.    m|104877    |0.      |-       |41.    m|1495160   |
|WQBU-FM1    |92.7  MHz |FB |224 |DA  |-                   |D  |-  |LIC    |NEW YORK                 |NY |US |BLFTB  -20180111AEO |0.     kW |0.099  kW |0.0     |0.0     |189412     |N |40 |45 |14.00 |W |73  |59 |59.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  70.01 km |  43.50 mi | 39.14 deg |0.0    m|91.    m|120577    |0.      |-       |81.    m|1775254   |
|NEW         |92.9  MHz |FX |225 |DA  |-                   |D  |-  |APP    |BURLINGTON               |NJ |US |BNPFT  -20180508AAF |0.24   kW |0.24   kW |0.0     |0.0     |203145     |N |40 |4  |57.80 |W |74  |47 |38.60 |REAL LIFE BROADCASTING                                                      |  30.76 km |  19.11 mi |228.32 deg |64.    m|64.0   m|133189    |0.      |-       |51.    m|1786952   |
|WEMK-LP     |92.9  MHz |FL |225 |ND  |-                   |L1 |-  |LIC    |UPPER GWYNEDD            |PA |US |BLL    -20170315AAR |0.027  kW |0.027  kW |41.1    |0.0     |195841     |N |40 |15 |7.00  |W |75  |16 |19.00 |COUNTY OF MONTGOMERY                                                        |  63.63 km |  39.54 mi |268.75 deg |145.   m|0.0    m|-         |-       |-       |36.    m|1753143   |
|WGGT-LP     |92.9  MHz |FL |225 |ND  |-                   |L1 |-  |LIC    |PHILADELPHIA             |PA |US |BLL    -20180119AAB |0.015  kW |0.015  kW |77.0    |0.0     |192746     |N |40 |2  |7.00  |W |75  |10 |31.00 |G-TOWN RADIO                                                                |  61.14 km |  37.99 mi |245.26 deg |129.   m|0.0    m|-         |-       |-       |59.    m|1775699   |
|WRGU-LP     |92.9  MHz |FL |225 |ND  |-                   |L1 |-  |LIC    |PHILADELPHIA             |PA |US |BLL    -20180119AAH |0.015  kW |0.015  kW |77.0    |0.0     |195118     |N |40 |2  |7.00  |W |75  |10 |31.00 |GERMANTOWN UNITED COMMUNITY DEVELOPMENT CORPORATION                         |  61.14 km |  37.99 mi |245.26 deg |129.   m|0.0    m|-         |-       |-       |59.    m|1775700   |
|WOOM-LP     |92.9  MHz |FL |225 |ND  |-                   |L1 |-  |LIC    |PHILADELPHIA             |PA |US |BLL    -20180109ABU |0.1    kW |0.1    kW |11.6    |0.0     |196383     |N |39 |55 |34.61 |W |75  |10 |29.22 |SOUTH PHILADELPHIA RAINBOW COMMITTEE COMMUNITY CENTER, INC.                 |  67.14 km |  41.72 mi |235.82 deg |32.    m|0.0    m|-         |-       |-       |25.    m|1775889   |
|WRLG-LP     |92.9  MHz |FL |225 |ND  |-                   |L1 |-  |LIC    |PHILADELPHIA             |PA |US |BLL    -20180119AAI |0.015  kW |0.015  kW |78.0    |0.0     |195802     |N |40 |2  |7.00  |W |75  |10 |31.00 |GERMANTOWN LIFE ENRICHMENT CENTER                                           |  61.14 km |  37.99 mi |245.26 deg |129.   m|0.0    m|-         |-       |-       |59.    m|1776566   |
|WPAT-FM     |93.1  MHz |FM |226 |ND  |-                   |B  |-  |LIC    |PATERSON                 |NJ |US |BLH    -19820223AR  |5.4    kW |5.4    kW |433.0   |433.0   |51663      |N |40 |42 |43.00 |W |74  |0  |49.00 |WPAT LICENSING, INC.                                                        |  65.70 km |  40.83 mi | 40.94 deg |443.   m|443.0  m|-         |-       |1002506 |439.   m|39605     |
|WPAT-FM     |93.1  MHz |FM |226 |ND  |-                   |B  |-  |APP    |PATERSON                 |NJ |US |BSTA   -20040325AIC |4.     kW |4.     kW |415.0   |415.0   |51663      |N |40 |44 |54.00 |W |73  |59 |10.00 |WPAT LICENSING, INC.                                                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |1007048 |413.   m|987568    |
|WPAT-FM     |93.1  MHz |FS |226 |ND  |-                   |B  |-  |LIC    |PATERSON                 |NJ |US |BLH    -19840409CA  |22.    kW |22.    kW |103.0   |103.0   |51663      |N |40 |50 |59.00 |W |74  |10 |59.00 |WPAT LICENSING, INC.                                                        |  70.88 km |  44.04 mi | 23.86 deg |158.   m|158.0  m|-         |-       |-       |98.    m|68658     |
|WPAT-FM     |93.1  MHz |FS |226 |ND  |-                   |B  |-  |LIC    |PATERSON                 |NJ |US |BXLH   -20040824AAD |7.5    kW |7.5    kW |281.0   |281.0   |51663      |N |40 |45 |22.00 |W |73  |59 |12.00 |WPAT LICENSING, INC.                                                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |282.   m|1027097   |
|WPAT-FM     |93.1  MHz |FS |226 |ND  |-                   |B  |-  |LIC    |PATERSON                 |NJ |US |BXLH   -20171019AAF |4.     kW |4.     kW |386.7   |386.7   |51663      |N |40 |44 |53.60 |W |73  |59 |10.50 |WPAT LICENSING, INC.                                                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769740   |
|WPAT-FM     |93.1  MHz |FA |226 |ND  |-                   |B  |-  |USE    |PATERSON                 |NJ |US |-      --           |-      kW |-      kW |-       |-       |51663      |N |40 |42 |43.00 |W |74  |0  |49.00 |-                                                                           |  65.70 km |  40.83 mi | 40.94 deg |-      m|-      m|-         |-       |-       |0.     m|290872    |
|W226AA      |93.1  MHz |FX |226 |ND  |-                   |D  |-  |LIC    |EASTON                   |PA |US |BLFT   -19921120TA  |0.15   kW |0.     kW |-3.0    |0.0     |41189      |N |40 |41 |53.00 |W |75  |12 |30.00 |MERCER COUNTY COMMUNITY COLLEGE                                             |  75.22 km |  46.74 mi |309.87 deg |132.   m|0.0    m|-         |-       |-       |0.     m|178924    |
|WMMR        |93.3  MHz |FM |227 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -20061205ADU |16.5   kW |16.5   kW |264.0   |264.0   |25438      |N |39 |57 |9.00  |W |75  |10 |5.00  |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.05 km |  40.42 mi |237.65 deg |292.   m|292.0  m|-         |-       |1245622 |279.   m|1163686   |
|WMMR        |93.3  MHz |FS |227 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -19931004KB  |25.    kW |25.    kW |204.0   |204.0   |25438      |N |39 |57 |6.00  |W |75  |9  |39.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  64.58 km |  40.13 mi |237.29 deg |232.   m|232.0  m|-         |-       |-       |219.   m|190587    |
|WMMR        |93.3  MHz |FA |227 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |25438      |N |39 |57 |6.00  |W |75  |9  |39.00 |-                                                                           |  64.58 km |  40.13 mi |237.29 deg |-      m|-      m|-         |-       |-       |0.     m|290948    |
|W228DY      |93.5  MHz |FX |228 |DA  |-                   |D  |-  |CP     |NEW BRUNSWICK            |NJ |US |BNPFT  -20171215ABC |0.     kW |0.25   kW |0.0     |0.0     |201019     |N |40 |28 |37.00 |W |74  |29 |33.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  23.48 km |  14.59 mi |  6.55 deg |0.0    m|169.   m|130438    |230.    |1045877 |134.   m|1773291   |
|W228EH      |93.5  MHz |FX |228 |ND  |-                   |D  |-  |LIC    |LAKEWOOD TOWNSHIP        |NJ |US |BLFT   -20181204AAD |0.25   kW |0.25   kW |0.0     |0.0     |202322     |N |40 |2  |39.00 |W |74  |4  |41.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  45.35 km |  28.18 mi |123.00 deg |15.    m|15.0   m|132819    |-       |-       |12.    m|1796218   |
|WNYC-FM     |93.9  MHz |FM |230 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -20110815ADD |5.2    kW |5.2    kW |415.0   |415.0   |73355      |N |40 |44 |54.00 |W |73  |59 |10.00 |NEW YORK PUBLIC RADIO                                                       |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |1007048 |413.   m|1439113   |
|WNYC-FM     |93.9  MHz |FS |230 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20140924ADQ |11.    kW |11.    kW |281.0   |281.0   |73355      |N |40 |45 |22.00 |W |73  |59 |12.00 |NEW YORK PUBLIC RADIO                                                       |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |282.   m|1449294   |
|WNYC-FM     |93.9  MHz |FS |230 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171011AAS |6.2    kW |6.2    kW |386.7   |386.7   |73355      |N |40 |44 |53.60 |W |73  |59 |10.50 |NEW YORK PUBLIC RADIO                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768956   |
|WNYC-FM     |93.9  MHz |FA |230 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |73355      |N |40 |42 |43.00 |W |74  |0  |49.00 |-                                                                           |  65.70 km |  40.83 mi | 40.94 deg |-      m|-      m|-         |-       |-       |0.     m|291173    |
|W230AG      |93.9  MHz |FX |230 |DA  |-                   |D  |-  |LIC    |EASTON                   |PA |US |BLFT   -19960610TA  |0.007  kW |0.105  kW |-7.0    |-7.0    |36994      |N |40 |41 |53.00 |W |75  |12 |30.00 |LEHIGH VALLEY COMMUNITY BROADCASTERS ASSOCIATION                            |  75.22 km |  46.74 mi |309.87 deg |133.   m|133.0  m|14624     |0.      |-       |26.    m|227841    |
|WIP-FM      |94.1  MHz |FM |231 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -20070529ADN |9.6    kW |9.6    kW |338.0   |338.0   |28628      |N |40 |2  |29.60 |W |75  |14 |11.50 |ENTERCOM LICENSE, LLC                                                       |  65.64 km |  40.79 mi |247.75 deg |403.   m|403.0  m|-         |-       |1231524 |314.   m|1187281   |
|WIP-FM      |94.1  MHz |FS |231 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20070718ABY |15.    kW |15.    kW |274.0   |274.0   |28628      |N |40 |2  |31.00 |W |75  |14 |23.00 |ENTERCOM LICENSE, LLC                                                       |  65.88 km |  40.94 mi |247.88 deg |340.   m|340.0  m|-         |-       |1027110 |273.   m|1196724   |
|WIP-FM      |94.1  MHz |FA |231 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |28628      |N |40 |2  |30.00 |W |75  |14 |24.00 |-                                                                           |  65.91 km |  40.96 mi |247.86 deg |-      m|-      m|-         |-       |-       |0.     m|291239    |
|WJLK        |94.3  MHz |FM |232 |ND  |-                   |A  |-  |LIC    |ASBURY PARK              |NJ |US |BMLH   -20110615AAQ |1.3    kW |1.3    kW |152.0   |152.0   |14907      |N |40 |13 |45.00 |W |74  |5  |25.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  37.16 km |  23.09 mi | 96.35 deg |171.   m|171.0  m|-         |-       |1044430 |136.   m|1426743   |
|WSBP-LP     |94.3  MHz |FL |232 |ND  |-                   |L1 |-  |LIC    |WOOD RIDGE               |NJ |US |BLL    -20151120ARE |0.058  kW |0.058  kW |20.4    |0.0     |195228     |N |40 |51 |22.60 |W |74  |5  |24.90 |SOUTH BERGEN COMMUNITY NEWS                                                 |  75.07 km |  46.64 mi | 29.08 deg |51.    m|0.0    m|-         |-       |-       |14.    m|1704313   |
|WJLK        |94.3  MHz |FA |232 |ND  |-                   |A  |-  |USE    |ASBURY PARK              |NJ |US |-      --           |-      kW |-      kW |-       |-       |14907      |N |40 |13 |45.00 |W |74  |5  |24.00 |-                                                                           |  37.18 km |  23.10 mi | 96.35 deg |-      m|-      m|-         |-       |-       |0.     m|291325    |
|W232CY      |94.3  MHz |FX |232 |DA  |-                   |D  |-  |LIC    |PARSIPPANY               |NJ |US |BLFT   -20170221ABT |0.     kW |0.05   kW |0.0     |0.0     |141372     |N |40 |51 |48.00 |W |74  |21 |9.00  |WORLD INDIA RADIO, LLC                                                      |  67.81 km |  42.14 mi | 12.28 deg |0.0    m|61.    m|126818    |300.    |-       |8.     m|1751521   |
|WPST        |94.5  MHz |FM |233 |DA  |-                   |B  |-  |LIC    |TRENTON                  |NJ |US |BMLH   -20131206AGE |50.    kW |48.    kW |150.0   |150.0   |25013      |N |40 |11 |22.00 |W |74  |50 |47.00 |TOWNSQUARE MEDIA TRENTON LICENSE, LLC                                       |  28.73 km |  17.86 mi |252.64 deg |180.   m|180.0  m|13789     |0.      |1034806 |146.   m|1600793   |
|WPST        |94.5  MHz |FS |233 |DA  |-                   |B  |-  |LIC    |TRENTON                  |NJ |US |BLH    -19921116KD  |50.    kW |50.    kW |73.0    |73.0    |25013      |N |40 |15 |19.00 |W |74  |51 |44.00 |TOWNSQUARE MEDIA TRENTON LICENSE, LLC                                       |  28.78 km |  17.88 mi |267.54 deg |122.   m|122.0  m|13440     |0.      |1034808 |67.    m|178786    |
|WPST        |94.5  MHz |FA |233 |ND  |-                   |B  |-  |USE    |TRENTON                  |NJ |US |-      --           |-      kW |-      kW |-       |-       |25013      |N |40 |15 |19.00 |W |74  |51 |44.00 |-                                                                           |  28.78 km |  17.88 mi |267.54 deg |-      m|-      m|-         |-       |-       |0.     m|291448    |
|WNSH        |94.7  MHz |FM |234 |ND  |-                   |B  |-  |LIC    |NEWARK                   |NJ |US |BLH    -20120404ABJ |23.5   kW |23.5   kW |207.0   |207.0   |20886      |N |40 |47 |17.00 |W |74  |15 |19.00 |RADIO LICENSE HOLDINGS LLC                                                  |  62.20 km |  38.65 mi | 21.33 deg |274.   m|274.0  m|-         |-       |1044879 |85.    m|1493965   |
|WNSH        |94.7  MHz |FA |234 |ND  |-                   |B  |-  |USE    |NEWARK                   |NJ |US |-      --           |-      kW |-      kW |-       |-       |20886      |N |40 |47 |18.00 |W |74  |15 |19.00 |-                                                                           |  62.23 km |  38.67 mi | 21.32 deg |-      m|-      m|-         |-       |-       |0.     m|291518    |
|W235BZ      |94.9  MHz |FX |235 |ND  |-                   |D  |-  |LIC    |MARLTON                  |NJ |US |BLFT   -20161024ADK |0.022  kW |0.022  kW |0.0     |0.0     |141548     |N |39 |56 |3.00  |W |74  |53 |39.00 |HOPE CHRISTIAN CHURCH OF MARLTON, INC.                                      |  48.58 km |  30.18 mi |220.50 deg |96.    m|96.0   m|123750    |-       |1045856 |44.    m|1742814   |
|W235AP      |94.9  MHz |FX |235 |DA  |-                   |D  |-  |LIC    |RADNOR                   |PA |US |BLFT   -20070607ACB |0.     kW |0.002  kW |0.0     |43.8    |141458     |N |40 |2  |47.00 |W |75  |23 |27.00 |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  77.79 km |  48.33 mi |251.87 deg |0.0    m|129.   m|16180     |40.     |-       |7.     m|1190181   |
|W235CE      |94.9  MHz |FX |235 |DA  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20161206ABD |0.074  kW |0.074  kW |0.0     |0.0     |141475     |N |40 |0  |57.00 |W |75  |6  |39.00 |HOPE CHRISTIAN CHURCH OF MARLTON, INC.                                      |  57.23 km |  35.56 mi |240.95 deg |95.    m|95.0   m|124346    |0.      |1055890 |72.    m|1746387   |
|W236AF      |95.1  MHz |FX |236 |DA  |-                   |D  |-  |LIC    |BURLINGTON               |NJ |US |BLFT   -20001129ACC |0.115  kW |0.12   kW |42.0    |0.0     |85965      |N |40 |4  |55.00 |W |74  |52 |11.00 |ROWAN COLLEGE AT BURLINGTON COUNTY                                          |  35.88 km |  22.30 mi |235.10 deg |63.    m|63.0   m|15190     |0.      |-       |61.    m|542486    |
|W236CT      |95.1  MHz |FX |236 |DA  |-                   |D  |-  |CP     |EDISON                   |NJ |US |BNPFT  -20130830AAK |0.25   kW |0.25   kW |0.0     |0.0     |138032     |N |40 |31 |45.10 |W |74  |23 |33.70 |BEST MEDIA, INC.                                                            |  31.20 km |  19.39 mi | 20.86 deg |108.   m|108.0  m|122840    |150.    |1045848 |75.    m|1714004   |
|W236CH      |95.1  MHz |FX |236 |DA  |-                   |D  |-  |LIC    |FORT GREENE              |NY |US |BLFT   -20161012AAH |0.027  kW |0.027  kW |0.0     |0.0     |139395     |N |40 |45 |8.80  |W |73  |58 |6.00  |BRIDGELIGHT, LLC                                                            |  71.61 km |  44.49 mi | 40.85 deg |284.   m|284.0  m|125730    |0.      |1276815 |275.   m|1741726   |
|WZZO        |95.1  MHz |FM |236 |DA  |-                   |B  |-  |LIC    |BETHLEHEM                |PA |US |BMLH   -20111025AGT |30.    kW |30.    kW |192.0   |192.0   |14375      |N |40 |37 |13.00 |W |75  |17 |37.00 |CAPSTAR TX, LLC, AS DEBTOR IN POSSESSION                                    |  76.16 km |  47.33 mi |301.36 deg |321.   m|321.0  m|13994     |0.      |1025306 |73.    m|1454014   |
|WZZO        |95.1  MHz |FS |236 |ND  |-                   |B  |-  |LIC    |BETHLEHEM                |PA |US |BXLH   -20040907AAT |4.5    kW |4.5    kW |157.0   |157.0   |14375      |N |40 |37 |13.00 |W |75  |17 |37.00 |CAPSTAR TX, LLC, AS DEBTOR IN POSSESSION                                    |  76.16 km |  47.33 mi |301.36 deg |284.   m|284.0  m|-         |-       |1025306 |36.    m|1114549   |
|WZZO        |95.1  MHz |FA |236 |ND  |-                   |B  |-  |USE    |BETHLEHEM                |PA |US |-      --           |-      kW |-      kW |-       |-       |14375      |N |40 |37 |13.00 |W |75  |17 |37.00 |-                                                                           |  76.16 km |  47.33 mi |301.36 deg |-      m|-      m|-         |-       |-       |0.     m|291666    |
|W236CL      |95.1  MHz |FX |236 |ND  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20161228AAZ |0.     kW |0.007  kW |0.0     |0.0     |157852     |N |39 |56 |54.00 |W |75  |13 |9.00  |SCRIBE VIDEO CENTER                                                         |  69.00 km |  42.88 mi |239.29 deg |0.0    m|69.    m|126558    |-       |-       |36.    m|1747937   |
|W237EH      |95.3  MHz |FX |237 |DA  |-                   |D  |-  |LIC    |PENNSAUKEN               |NJ |US |BLFT   -20160126ACW |0.25   kW |0.25   kW |0.0     |0.0     |141664     |N |39 |55 |34.20 |W |75  |3  |12.50 |BROADCAST LEARNING CENTER, INC.                                             |  58.89 km |  36.59 mi |230.09 deg |60.    m|60.0   m|121177    |0.      |-       |54.    m|1681027   |
|W235AP      |95.3  MHz |FX |237 |DA  |-                   |D  |-  |CP     |RADNOR                   |PA |US |BPFT   -20160127ADQ |0.     kW |0.084  kW |0.0     |0.0     |141458     |N |40 |1  |58.00 |W |75  |20 |15.00 |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  74.01 km |  45.99 mi |249.63 deg |0.0    m|158.   m|123871    |260.    |-       |28.    m|1721470   |
|WPLJ        |95.5  MHz |FM |238 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -20050216ACG |6.7    kW |6.7    kW |408.0   |408.0   |73887      |N |40 |44 |54.00 |W |73  |59 |10.00 |RADIO LICENSE HOLDINGS LLC                                                  |  70.28 km |  43.67 mi | 40.18 deg |422.   m|422.0  m|-         |-       |1007048 |407.   m|1046909   |
|WPLJ        |95.5  MHz |FS |238 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19851224KA  |7.2    kW |7.2    kW |396.0   |396.0   |73887      |N |40 |44 |54.00 |W |73  |59 |10.00 |RADIO LICENSE HOLDINGS LLC                                                  |  70.28 km |  43.67 mi | 40.18 deg |413.   m|413.0  m|-         |-       |1007048 |395.   m|84493     |
|WPLJ        |95.5  MHz |FS |238 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19870729KA  |6.6    kW |6.6    kW |410.0   |410.0   |73887      |N |40 |44 |54.00 |W |73  |59 |10.00 |RADIO LICENSE HOLDINGS LLC                                                  |  70.28 km |  43.67 mi | 40.18 deg |424.   m|424.0  m|-         |-       |-       |408.   m|104015    |
|WPLJ        |95.5  MHz |FS |238 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171010ADE |7.6    kW |7.6    kW |386.7   |386.7   |73887      |N |40 |44 |53.60 |W |73  |59 |10.50 |RADIO LICENSE HOLDINGS LLC                                                  |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768719   |
|WPLJ        |95.5  MHz |FA |238 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |73887      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|291880    |
|WBEN-FM     |95.7  MHz |FM |239 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19991122ABE |8.9    kW |8.9    kW |350.0   |350.0   |22308      |N |40 |2  |21.00 |W |75  |14 |13.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.78 km |  40.87 mi |247.55 deg |416.   m|416.0  m|29999     |-       |1026755 |342.   m|423635    |
|WBEN-FM     |95.7  MHz |FS |239 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20000526ABC |11.    kW |11.    kW |309.0   |309.0   |22308      |N |40 |2  |30.00 |W |75  |14 |24.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.91 km |  40.96 mi |247.86 deg |375.   m|375.0  m|-         |-       |1027110 |308.   m|499783    |
|WBEN-FM     |95.7  MHz |FS |239 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20090507ACM |11.    kW |11.    kW |309.0   |309.0   |22308      |N |40 |2  |30.00 |W |75  |14 |24.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.91 km |  40.96 mi |247.86 deg |375.   m|375.0  m|-         |-       |1027110 |308.   m|1311434   |
|WBEN-FM     |95.7  MHz |FA |239 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |22308      |N |40 |3  |33.00 |W |75  |14 |20.00 |-                                                                           |  65.10 km |  40.45 mi |249.41 deg |-      m|-      m|-         |-       |-       |0.     m|291979    |
|WRAT        |95.9  MHz |FM |240 |ND  |-                   |A  |-  |LIC    |POINT PLEASANT           |NJ |US |BMLH   -20050128AIM |4.     kW |4.     kW |73.0    |73.0    |59530      |N |40 |10 |15.00 |W |74  |1  |42.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  43.54 km |  27.05 mi |104.07 deg |90.    m|90.0   m|-         |-       |1059624 |85.    m|1044019   |
